Metric,Value
timing__drv__floating__pins,0
design__instance__displacement__total,7.74
design__instance__displacement__mean,0
design__instance__displacement__max,4.1
route__wirelength__estimated,1789180
design__violations,0
design__instance__count__class:timing_repair_buffer,6872
design__instance__area__class:timing_repair_buffer,54238.3
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,859
design__instance__area__class:clock_buffer,11340.9
design__instance__count__class:clock_inverter,104
design__instance__area__class:clock_inverter,1081.04
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,69
global_route__vias,72
global_route__wirelength,3072701
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
flow__warnings__count:EST-0026,1001
design__instance__count__class:antenna_cell,801
design__instance__area__class:antenna_cell,2004.42
antenna_diodes_count,10
route__net,57917
route__net__special,2
route__drc_errors__iter:0,459
route__wirelength__iter:0,2041159
route__drc_errors__iter:1,257
route__wirelength__iter:1,2041072
route__drc_errors__iter:2,142
route__wirelength__iter:2,2041043
route__drc_errors__iter:3,142
route__wirelength__iter:3,2041043
route__drc_errors__iter:4,139
route__wirelength__iter:4,2041039
route__drc_errors__iter:5,139
route__wirelength__iter:5,2041039
route__drc_errors__iter:6,128
route__wirelength__iter:6,2041024
route__drc_errors__iter:7,128
route__wirelength__iter:7,2041024
route__drc_errors__iter:8,128
route__wirelength__iter:8,2041024
route__drc_errors__iter:9,128
route__wirelength__iter:9,2041024
route__drc_errors__iter:10,95
route__wirelength__iter:10,2041032
route__drc_errors__iter:11,82
route__wirelength__iter:11,2041035
route__drc_errors__iter:12,82
route__wirelength__iter:12,2041035
route__drc_errors__iter:13,8
route__wirelength__iter:13,2041067
route__drc_errors__iter:14,3
route__wirelength__iter:14,2041058
route__drc_errors__iter:15,3
route__wirelength__iter:15,2041058
route__drc_errors__iter:16,0
route__wirelength__iter:16,2041065
route__drc_errors__iter:17,11
route__wirelength__iter:17,2041060
route__drc_errors__iter:18,11
route__wirelength__iter:18,2041060
route__drc_errors__iter:19,3
route__wirelength__iter:19,2041058
route__drc_errors__iter:20,3
route__wirelength__iter:20,2041058
route__drc_errors__iter:21,1
route__wirelength__iter:21,2041064
route__drc_errors__iter:22,1
route__wirelength__iter:22,2041064
route__drc_errors__iter:23,1
route__wirelength__iter:23,2041064
route__drc_errors__iter:24,1
route__wirelength__iter:24,2041064
route__drc_errors__iter:25,1
route__wirelength__iter:25,2041064
route__drc_errors__iter:26,1
route__wirelength__iter:26,2041064
route__drc_errors__iter:27,1
route__wirelength__iter:27,2041064
route__drc_errors__iter:28,4
route__wirelength__iter:28,2041001
route__drc_errors__iter:29,4
route__wirelength__iter:29,2040997
route__drc_errors__iter:30,1
route__wirelength__iter:30,2041064
route__drc_errors__iter:31,1
route__wirelength__iter:31,2041064
route__drc_errors__iter:32,0
route__wirelength__iter:32,2041065
route__drc_errors__iter:33,1
route__wirelength__iter:33,2040999
route__drc_errors__iter:34,1
route__wirelength__iter:34,2040999
route__drc_errors__iter:35,0
route__wirelength__iter:35,2041023
route__drc_errors__iter:36,1
route__wirelength__iter:36,2041679
route__drc_errors__iter:37,13
route__wirelength__iter:37,2041851
route__drc_errors__iter:38,13
route__wirelength__iter:38,2041851
route__drc_errors__iter:39,13
route__wirelength__iter:39,2041851
route__drc_errors__iter:40,13
route__wirelength__iter:40,2041851
route__drc_errors__iter:41,13
route__wirelength__iter:41,2041851
route__drc_errors__iter:42,13
route__wirelength__iter:42,2041851
route__drc_errors__iter:43,12
route__wirelength__iter:43,2041872
route__drc_errors,0
route__wirelength,2041065
route__vias,473278
route__vias__singlecut,473278
route__vias__multicut,0
route__drc_errors__iter:44,9
route__wirelength__iter:44,2041870
route__drc_errors__iter:45,9
route__wirelength__iter:45,2041870
route__drc_errors__iter:46,3
route__wirelength__iter:46,2041874
route__drc_errors__iter:47,3
route__wirelength__iter:47,2041874
route__drc_errors__iter:48,2
route__wirelength__iter:48,2041883
route__drc_errors__iter:49,2
route__wirelength__iter:49,2041883
route__drc_errors__iter:50,2
route__wirelength__iter:50,2041883
route__drc_errors__iter:51,2
route__wirelength__iter:51,2041883
route__drc_errors__iter:52,2
route__wirelength__iter:52,2041883
route__drc_errors__iter:53,0
route__wirelength__iter:53,2041932
flow__warnings__count:DRT-0349,10
flow__warnings__count:GRT-0243,1
flow__warnings__count:GRT-0273,1
design__disconnected_pin__count,38
design__critical_disconnected_pin__count,0
route__wirelength__max,1721.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,630
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,630
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,630
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,4
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-8.810766587925947
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.30837733239822945
timing__hold__ws__corner:min_tt_025C_1v80,0.23546376626074322
timing__setup__ws__corner:min_tt_025C_1v80,11.439866266971563
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.235464
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,33.067009
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,630
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,4
design__max_fanout_violation__count__corner:min_ss_100C_1v60,4
design__max_cap_violation__count__corner:min_ss_100C_1v60,2
clock__skew__worst_hold__corner:min_ss_100C_1v60,-9.152615813195645
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.44635407744405337
timing__hold__ws__corner:min_ss_100C_1v60,0.2900355593342614
timing__setup__ws__corner:min_ss_100C_1v60,9.38961202034062
timing__hold__tns__corner:min_ss_100C_1v60,0
timing__setup__tns__corner:min_ss_100C_1v60,0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.595342
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,15.514143
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,630
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,4
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-8.616827495428934
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.2492592869325969
timing__hold__ws__corner:min_ff_n40C_1v95,0.109853573791364
timing__setup__ws__corner:min_ff_n40C_1v95,12.314505319578261
timing__hold__tns__corner:min_ff_n40C_1v95,0
